package,version,status
react-native-push-notification,8.1.1,fail-baseline
react-native-quick-md5,3.0.9,pass
react-native-randombytes,3.6.2,pass
react-native-restart-newarch,1.0.87,fail-newdsl
react-native-rsa-native,2.0.5,fail-baseline
react-native-screenshot-aware,2.1.2,fail-newdsl
react-native-sensitive-info,6.1.5,fail-baseline
react-native-sensors,7.3.6,fail-baseline
react-native-sherpa-onnx,0.4.3,fail-newdsl
react-native-snackbar,3.0.1,fail-newdsl
react-native-splash-screen,3.3.0,fail-baseline
react-native-sqlite-storage,6.0.1,fail-baseline
react-native-ssl-pinning,1.6.0,fail-baseline
react-native-startup-time,2.1.0,pass
react-native-store-review,0.5.0,pass
react-native-system-navigation-bar,3.0.1,fail-newdsl
react-native-thermal-receipt-printer,1.2.0-rc.2,fail-baseline
react-native-tts,4.1.1,fail-baseline
react-native-turbo-image,1.24.3,fail-newdsl
react-native-udp,4.1.7,pass
react-native-ui-lib,9.1.2,fail-baseline
react-native-ux-cam,6.0.22,pass
react-native-vision-camera-resizer,5.2.3,fail-baseline
react-native-vizbee-receiver-sdk,0.0.26,fail-baseline
react-native-webgpu,0.9.0,fail-baseline
react-native-wheel-pick,1.2.8,pass
react-native-zendesk-messaging,0.3.2,fail-baseline
react-native-zeroconf,0.14.0,pass
rn-android-keyboard-adjust,2.1.2,pass
rn-fetch-blob,0.12.0,fail-baseline
stream-chat-react-native,9.8.2,fail-newdsl
uilib-native,5.1.2,fail-baseline
vexo-analytics,1.12.0,pass
vision-camera-resize-plugin,3.2.0,fail-baseline
@0610studio/zs-ui,1.0.2,pass
@0x5e/react-native-alipay,0.2.7-beta.2,fail-baseline
@100mslive/react-native-hms,1.12.3,fail-newdsl
@100mslive/react-native-video-plugin,1.1.4,fail-baseline
@1interface/live-voice-stream-kit,0.1.0,pass
@1mt/expo-on-device-ai,0.1.0,fail-baseline
@1selfworld/adchain-sdk-react-native,1.0.27,fail-baseline
@2060.io/react-native-eid-reader,0.3.1,fail-newdsl
@2c2p/pgw-sdk-react-native,4.0.5,fail-newdsl
@42techpacks/expo-spotify-sdk,0.5.6,fail-baseline
@a-cube-io/expo-mutual-tls,1.0.5,pass
